OBJECTID,Shape,ID,AGENCY_NAM,PROGRAM_TY,AGENCY_TEL,CBO_SERVIC,SP_EIN,CBO_SP_TEL,SCHOOL_ID,SITE_NAME,SITE_BUILD,SITE_STREE,SITE_BOROU,SITE_ZIP,SETTING,ESTIMATED_,SUMMER,SCHOOL_YEA,WEEKENDS,EVENINGS,ELEMENTARY,MIDDLE_SCH,HIGH_SCHOO,WEEKLY_HOU,ENROLLMENT,ACADEMICS,SPORTS_PHY,ARTS_CULTU,NAME,ADDRESS1,ADDRESS2
591,"(40.76038088000007, -73.93686156199993)",NYCHA128,NYCHA,NYCHA (HUD),718-969-6240,NYCHA, ,(718) 786-3131, ,Ravenswood Comm. Ctr.,35-40,21st Street,Queens,11106,NYCHA Community Center,180,Yes,Yes,No,Yes,Yes,Yes,Yes,Full-time,180,Yes,Yes,Yes,Ravenswood Comm. Ctr.,35-40 21st Street,"Queens, NY 11106"
592,"(40.63521596500004, -73.91078241199995)",DOE_DYCD156,DYCD,Beacon,800-246-4646,Sesame Flyers International,112692485,718-693-0500,18K068,IS 68,956,East 82nd Street,Brooklyn,11236,School,1350,yes,yes,yes,yes,yes,yes,yes,Full-time,1350,yes,yes,yes,Beacon - Sesame Flyers International,956 East 82nd Street,"Brooklyn, NY 11236"
593,"(40.719675937000034, -73.94819012999994)",DOE_DYCD216,DYCD,Beacon,800-246-4646,St. Nicholas Neighborhood Preservation,510192170,718-388-5454,14K126,JHS 126,424,Leonard Street,Brooklyn,11222,School,1350,yes,yes,yes,yes,yes,yes,yes,Full-time,1350,yes,yes,yes,Beacon - St. Nicholas Neighborhood Preservation,424 Leonard Street,"Brooklyn, NY 11222"
594,"(40.71183333600004, -73.93909094199995)",DOE_DYCD217,DYCD,Beacon,800-246-4646,St. Nicholas Neighborhood Preservation,510192170,718-388-5454,14K477,Grand Street HS,850,Grand Street,Brooklyn,11211,School,1350,yes,yes,yes,yes,yes,yes,yes,Full-time,1350,yes,yes,yes,Beacon - St. Nicholas Neighborhood Preservation,850 Grand Street,"Brooklyn, NY 11211"
595,"(40.78502375100004, -73.95003742599994)",DOE_DYCD189,DYCD,Beacon,800-246-4646,Stanley M. Isaacs Neighborhood Center,132572034,212-360-7620,02M198,PS 198,1700,3rd Avenue,Manhattan,10128,School,1350,yes,yes,yes,yes,yes,yes,yes,Full-time,1350,yes,yes,yes,Beacon - Stanley M. Isaacs Neighborhood Center,1700 3rd Avenue,"Manhattan, NY 10128"
596,"(40.81292882400004, -73.94681409099991)",NYCHA1,NYCHA,NYCHA (HUD),212-306-3324,131st St Block Association, ,(212) 749-8322, ,131 St. Block Association Comm. Ctr.,220,West 131st Street,Manhattan,10027,NYCHA Community Center,70,Yes,Yes,No,Yes,Yes,Yes,Yes,Full-time,70,Yes,Yes,Yes,131 St. Block Association Comm. Ctr.,220 West 131st Street,"Manhattan, NY 10027"
597,"(40.81967840600004, -73.93727391199991)",NYCHA2,NYCHA,NYCHA (HUD),212-306-3324,Abyssinian Baptist Church, ,(212) 491-1092, ,Frederick E. Samuels Comm. Ctr.,669,Lenox Ave,Manhattan,10030,NYCHA Community Center,128,Yes,Yes,No,Yes,Yes,Yes,Yes,Full-time,128,Yes,Yes,Yes,Frederick E. Samuels Comm. Ctr.,669 Lenox Ave,"Manhattan, NY 10037"
598,"(40.84526283200006, -73.93342384699991)",NYCHA3,NYCHA,NYCHA (HUD),212-306-3324,"Alianza Dominicana, Inc.",133402057,(212) 927-6810, ,"Alianza Dominicana, Inc.",2340,Amsterdam Ave,Manhattan,10033,NYCHA Community Center,4089,Yes,Yes,No,Yes,Yes,Yes,Yes,Full-time,4089,Yes,Yes,Yes,Alianza Dominicana,2340 Amsterdam Ave,"Manhattan, NY 10033"
599,"(40.80896863500004, -73.92552249599993)",NYCHA14,NYCHA,NYCHA (HUD),718-409-8620,"East Side House Settlement, Inc.",131623989,(718) 993-3245, ,Mitchel,210,Alexander Avenue,Bronx,10454,NYCHA Community Center,415,Yes,Yes,No,Yes,Yes,Yes,Yes,Full-time,415,Yes,Yes,Yes,Mitchel,210 Alexander Avenue,"Bronx, NY 10454"
600,"(40.812824298000066, -73.92125434699994)",NYCHA12,NYCHA,NYCHA (HUD),718-409-8620,"East Side House Settlement, Inc.",131623989,(718) 292-4151, ,East Side House Mott Haven Comm. Ctr.,375,East 143rd St,Bronx,10454,NYCHA Community Center,121,Yes,Yes,No,Yes,Yes,Yes,Yes,Full-time,121,Yes,Yes,Yes,East Side House Mott Haven Comm. Ctr.,375 East 143rd St,"Bronx, NY 10454"
601,"(40.81359040600006, -73.92486380899993)",NYCHA11,NYCHA,NYCHA (HUD),718-409-8620,"East Side House Settlement, Inc.",131623989,(718) 993-2744, ,East Side House Patterson Comm. Ctr.,340,Morris Avenue,Bronx,10451,NYCHA Community Center,92,Yes,Yes,No,Yes,Yes,Yes,Yes,Full-time,92,Yes,Yes,Yes,East Side House Patterson Comm. Ctr.,340 Morris Avenue,"Bronx, NY 10451"
602,"(40.80544487600008, -73.91915293099993)",NYCHA13,NYCHA,NYCHA (HUD),718-409-8620,"East Side House Settlement, Inc.",131623989,(718) 585-1254, ,Millbrook Comm. Ctr.,201,St. Ann's Ave,Bronx,10454,NYCHA Community Center,135,Yes,Yes,No,Yes,Yes,Yes,Yes,Full-time,135,Yes,Yes,Yes,Millbrook Comm. Ctr.,201 St. Ann's Ave,"Bronx, NY 10454"
603,"(40.82042962400004, -73.9208309309999)",NYCHA26,NYCHA,NYCHA (HUD),718-409-8620,I Have A Dream Foundation-NY, ,(718) 585-1730, ,I Have A Dream Foundation-NY (Melrose),277,East 153rd Street,Bronx,10451,NYCHA Community Center,99,Yes,Yes,No,Yes,Yes,Yes,Yes,Full-time,99,Yes,Yes,Yes,I Have A Dream Foundation-NY (Melrose),277 East 153rd Street,"Bronx, NY 10451"
604,"(40.748385399000085, -74.00098157199994)",NYCHA25,NYCHA,NYCHA (HUD),212-306-3324,I Have A Dream Foundation-NY, ,(212) 293-5480, ,I Have A Dream Foundation-NY (Chelsea-Elliott),420,West 26th Street,Manhattan,10001,NYCHA Community Center,37,Yes,Yes,No,Yes,Yes,Yes,Yes,Full-time,37,Yes,Yes,Yes,I Have A Dream Foundation-NY (Chelsea-Elliott),420 West 26th Street,"Manhattan, NY 10001"
605,"(40.79255066300004, -73.97210272599995)",NYCHA164,NYCHA,NYCHA (HUD),212-306-3324,I Have A Dream Foundation-NY, ,212-293-5480, ,I Have A Dream Foundation-NY (De Hostos),201,West 93rd St. # IB & IC,Manhattan,10025,NYCHA Community Center,40,Yes,Yes,No,Yes,No,No,No,Full Time,40,Yes,Yes,Yes,I Have A Dream Foundation-NY (De Hostos),201 West 93rd St. # IB & IC,"Manhattan, NY 10025"
606,"(40.72016869000004, -73.9781238029999)",NYCHA155,NYCHA,NYCHA (HUD),212-306-3324,"Educational Alliance, Inc.",135562210,(212) 780-5617, ,"The Educational Alliance, Inc.",12,Avenue D,Manhattan,10009,NYCHA Community Center,284,Yes,Yes,No,Yes,Yes,Yes,Yes,Full-time,284,Yes,Yes,Yes,Educational Alliance,12 Avenue D,"Manhattan, NY 10009"
607,"(40.849778369000035, -73.91847820499993)",NYCHA16,NYCHA,NYCHA (HUD),718-409-8620,Featherbed Lane Improvement Assoc, ,(718) 901-4000, ,Featherbed Lane Improvement Assoc. Comm. Ctr.,1705,Andrews Ave,Bronx,10453,NYCHA Community Center,50,Yes,Yes,No,Yes,Yes,Yes,Yes,Full-time,50,Yes,Yes,Yes,Featherbed Lane Improvement Assoc. Comm. Ctr.,1705 Andrews Ave,"Bronx, NY 10453"
608,"(40.725063214000045, -73.97461557799994)",NYCHA18,NYCHA,NYCHA (HUD),212-306-3324,Generation X-Cel, ,(212) 673-9225, ,Generation X-Cel/For Youth by Youth Comm. Ctr.,152,Avenue D,Manhattan,10009,NYCHA Community Center,415,Yes,Yes,No,Yes,Yes,Yes,Yes,Full-time,415,Yes,Yes,Yes,Generation X-Cel/For Youth by Youth Comm. Ctr.,152 Avenue D,"Manhattan, NY 10009"
609,"(40.73630036800006, -73.8501122269999)",NYCHA17,NYCHA,NYCHA (HUD),718-969-6240,Queens Community House,112375583,(718) 592-5757, ,Queens Community House,108-25,62nd Drive,Queens,11375,NYCHA Community Center,2223,Yes,Yes,No,Yes,Yes,Yes,Yes,Full-time,2223,Yes,Yes,Yes,Queens Community House,108-25 62nd Drive,"Queens, NY 11375"
610,"(40.85055681600005, -73.93400925999993)",DYCD627,DYCD,OST,800-246-4646,"Alianza Dominicana, Inc.",133402057,(917) 470-8957,06M132,P.S. 132 Juan Pablo Duarte (M132),185,Wadsworth Avenue,Manhattan,10033,School,150,Yes,Yes,unknown,unknown,Yes,No,No,Full-time,150,Yes,Yes,Yes,OST - Alianza Dominicana,185 Wadsworth Avenue,"Manhattan, NY 10033"
611,"(40.84837223400007, -73.93219538499994)",DYCD628,DYCD,OST,800-246-4646,"Alianza Dominicana, Inc.",133402057,212-740-1960,06M552,Gregorio Luperon High School - H.S. (M552),516-20,West 181st Street,Manhattan,10033,school,180,no,yes,unknown,unknown,no,no,yes,Part-time,180,no,no,no,OST - Alianza Dominicana,516-20 West 181 Street,"Manhattan, NY 10033"
612,"(40.83147373700007, -73.93557841199993)",DYCD89,DYCD,OST,800-246-4646,"Alianza Dominicana, Inc.",133402057,212-740-1960, ,Polo Grounds/Rangel Comm. Ctr.,3005,Frederick Douglass Boulevard,Manhattan,10039,Parks,0,yes,yes,unknown,unknown,yes,no,no,Full-time,0,yes,yes,yes,OST - Alianza Dominicana,3005 Frederick Douglass Boulevard,"Manhattan, NY 10039"
613,"(40.79704581200008, -73.93702932899993)",NYCHA152,NYCHA,NYCHA (HUD),212-306-3324,"SCAN/LaGuardia Memorial House, Inc.",132912963,(212) 534-7800, ,LaGuardia Memorial House,307,E 116th St,Manhattan,10029,NYCHA Community Center,1023,Yes,Yes,No,Yes,Yes,Yes,Yes,Full-time,1023,Yes,Yes,Yes,LaGuardia Memorial House,307 E 116th St,"Manhattan, NY 10029"
614,"(40.82317288100006, -73.90338426699992)",NYCHA153,NYCHA,NYCHA (HUD),718-409-8620,South East Bronx Neighborhood Centers,132275560,(718) 542-2727, ,S.E. Bronx Neighborhood Ctr.,955,Tinton Avenue,Bronx,10456,NYCHA Community Center,497,Yes,Yes,No,Yes,Yes,Yes,Yes,Full-time,497,Yes,Yes,Yes,S.E. Bronx Neighborhood Center,955 Tinton Avenue,"Bronx, NY 10456"
615,"(40.84922029900008, -73.9309596789999)",DYCD105,DYCD,OST,800-246-4646,"Alianza Dominicana, Inc.",133402057,212-740-1960,06M143,JHS 143 - Eleanor Roosevelt School,511,West 182nd Street,Manhattan,10033,school,0,yes,yes,unknown,unknown,no,yes,no,Full-time,0,yes,yes,yes,OST - Alianza Dominicana,511 West 182nd Street,"Manhattan, NY 10033"
616,"(40.655271294000045, -73.94532808499991)",DYCD2,DYCD,OST,800-246-4646,"Arthur Ashe Institute for Urban Health, Inc", ,718-270-2600, ,Arthur Ashe Institute for Urban Health,450,Clarkson Avenue,Brooklyn,11203,center,0,no,yes,unknown,unknown,no,yes,yes,Part-time,0,yes,yes,yes,OST - Arthur Ashe Institute for Urban Health,450 Clarkson Avenue,"Brooklyn, NY 11203"
617,"(40.645926829000075, -73.88299750199991)",DYCD429,DYCD,OST,800-246-4646,Be'er Hagolah Institutes,112501388,718-642-6800, ,Be'er Hagolah Institutes,671,Louisiana Avenue,Brooklyn,11239,center,0,no,yes,unknown,unknown,no,no,yes,Part-time,0,no,no,no,OST - Be'er Hagolah Institutes,671 Louisiana Avenue,"Brooklyn, NY 11239"
618,"(40.742964191000056, -73.97893381099993)",DYCD112,DYCD,OST,800-246-4646,Big Brothers/Big Sisters Inc. of NYC, ,212-686-2041, ,Big Brothers/Big Sisters,223,East 30th Street,Manhattan,10016,Center,350,no,yes,unknown,unknown,no,no,yes,Part-time,350,yes,yes,yes,OST - Big Brothers/Big Sisters of NYC,223 East 30th Street,"Manhattan, NY 10016"
619,"(40.667877600000054, -73.95712405599994)",DYCD4,DYCD,OST,800-246-4646,Big Five Block Association Inc., ,718-363-3211, ,Five Block Day Care Ctr.,995,Carroll Street,Brooklyn,11225,center,0,yes,yes,unknown,unknown,yes,no,no,Full-time,0,yes,yes,yes,OST - Big Five Block Association,995 Carroll Street,"Brooklyn, NY 11225"
620,"(40.63309783100004, -73.99096537899993)",DYCD432,DYCD,OST,800-246-4646,"Bnos Zion of Bobov, Inc", ,718-438-3080, ,Bnos Zion of Bobov,5000,14th Avenue,Brooklyn,11219,center,0,no,yes,unknown,unknown,no,no,Yes,Full-time/Part-time,0,yes,yes,yes,OST - Bnos Zion of Bobov,5000 14th Avenue,"Brooklyn, NY 11219"
621,"(40.84636752300008, -73.91987091399994)",DYCD438,DYCD,OST,800-246-4646,"Bronx Council On The Arts, Inc.", ,718-931-9500, ,Nelson Avenue Family Residence,1605,Nelson Avenue,Bronx,10459,center,0,no,yes,unknown,unknown,no,yes,yes,Part-time,0,yes,yes,yes,OST - Bronx Council On The Arts,1605 Nelson Avenue,"Bronx, NY 10453"
622,"(40.695060080000076, -73.80689552099994)",DYCD131,DYCD,OST,800-246-4646,"Catholic Charities Neighborhood Services, Inc.", ,718-526-5336,28Q050,Talfourd Lawn ES,143-26,101st Avenue,Queens,11435,school,0,no,yes,unknown,unknown,yes,no,no,Full-time,0,yes,yes,yes,OST - Catholic Charities Neighborhood Svcs.,143-26 101st Avenue,"Queens, NY 11435"
623,"(40.74600212800004, -73.87973646499995)",DYCD311,DYCD,OST,800-246-4646,Child Center of New York,111733454,718-651-7770,24Q089,PS 89 - Elmhurst ES,85-28,Britton Avenue,Queens,11373,school,0,no,yes,unknown,unknown,yes,no,no,Full-time,0,yes,yes,yes,OST - Child Center of NY,85-28 Britton Avenue,"Queens, NY 11373"
624,"(40.749551706000034, -73.82143933499992)",DYCD307,DYCD,OST,800-246-4646,Child Center of New York,111733454,718-651-7770,25Q237,Rachel L. Carson School,46-21,Colden Street,Queens,11355,school,0,no,yes,unknown,unknown,no,yes,no,Full-time,0,yes,yes,yes,OST - Child Center of NY,46-21 Colden Street,"Queens, NY 11355"
625,"(40.674998007000056, -73.77558353099994)",DYCD306,DYCD,OST,800-246-4646,Child Center of New York,111733454,718-651-7770,28Q072,Catherine & Count Basie School,133-25,Guy R. Brewer Boulevard,Queens,11434,school,0,no,yes,unknown,unknown,no,yes,no,Full-time,0,yes,yes,yes,OST - Child Center of NY,133-25 Guy R. Brewer Boulevard,"Queens, NY 11434"
626,"(40.83417967100007, -73.88723258999994)",DYCD9,DYCD,OST,800-246-4646,"Casita Maria, Inc.", ,718-589-2230,12X050,PS 50,1550,Vyse Ave,Bronx,10460,school,0,yes,yes,unknown,unknown,yes,no,no,Full-time,0,yes,yes,yes,OST - Casita Maria,1550 Vyse Avenue,"Bronx, NY 10460"
627,"(40.81261717000007, -73.94001482199991)",DYCD10,DYCD,OST,800-246-4646,"Catholic Charities Community Service, Archdiocese of NY", ,212-371-1000, ,Lt. Joseph P. Kennedy Jr. Memorial Comm. Ctr.,34,West 134th Street,Manhattan,10037,center,0,no,yes,unknown,unknown,yes,yes,no,Part-time,0,yes,yes,yes,"OST - Catholic Charities Comm. Service, Archdiocese of NY",34 West 134th Street,"Manhattan, NY 10037"
628,"(40.63469655000006, -74.13453090999991)",DYCD443,DYCD,OST,800-246-4646,"Catholic Charities Community Service, Archdiocese of NY", ,212-371-1000, ,Catholic Youth Organization of the Archdiocese of NY,120,Anderson Avenue,Staten Island,10302,center,0,no,yes,unknown,unknown,yes,yes,no,Part-time,0,yes,yes,yes,"OST - Catholic Charities Comm. Service, Archdiocese of NY",120 Anderson Avenue,"Staten Island, NY 10302"
629,"(40.71635266000004, -74.00341744799994)",DYCD444,DYCD,OST,800-246-4646,Center for Alternative Sentencing and Employment Services, ,212-553-6349, ,Ctr. for Alternative Sentencing & Employment Services,346,Broadway,Manhattan,10013,center,0,no,yes,unknown,unknown,no,no,yes,Part-time,0,yes,yes,yes,OST - CASES,346 Broadway,"Manhattan, NY 10013"
630,"(40.69806706600008, -73.91659727099994)",DYCD168,DYCD,OST,800-246-4646,Coalition For Hispanic Family Services, ,718-497-6090,32K116,Elizabeth L. Farrell ES,515,Knickerbocker Avenue,Brooklyn,11237,school,0,no,yes,unknown,unknown,yes,yes,no,Part-time,0,yes,yes,yes,OST - Coalition For Hispanic Family Services,515 Knickerbocker Avenue,"Brooklyn, NY 11237"
631,"(40.751755615000036, -73.81784855699993)",DYCD310,DYCD,OST,800-246-4646,Child Center of New York,111733454,718-651-7770,25Q024,PS 20 - Andrew Jackson ES,141-11,Holly Avenue,Queens,11355,school,0,no,yes,unknown,unknown,yes,no,no,Full-time,0,yes,yes,yes,OST - Child Center of NY,141-11 Holly Avenue,"Queens, NY 11355"
632,"(40.70489643800005, -73.96566173899993)",NYCHA79,NYCHA,NYCHA (HUD),718-453-1296,NYCHA, ,(718) 782-5553, ,Taylor-Wythe Comm. Ctr.,80,Clymer Street,Brooklyn,11211,NYCHA Community Center,78,Yes,Yes,No,Yes,Yes,Yes,Yes,Full-time,78,Yes,Yes,Yes,Taylor-Wythe Comm. Ctr.,80 Clymer Street,"Brooklyn, NY 11211"
633,"(40.65989103000004, -73.88154674399993)",NYCHA80,NYCHA,NYCHA (HUD),718-453-1296,NYCHA, ,(718) 272-0050, ,Boulevard Comm. Ctr.,726,Stanley Ave,Brooklyn,11207,NYCHA Community Center,80,Yes,Yes,No,Yes,Yes,Yes,Yes,Full-time,80,Yes,Yes,Yes,Boulevard Comm. Ctr.,726 Stanley Ave,"Brooklyn, NY 11207"
634,"(40.71829199000007, -73.9400576239999)",NYCHA81,NYCHA,NYCHA (HUD),718-453-1296,NYCHA, ,(718) 383-5292, ,Cooper Park Comm. Ctr.,76,Kingsland Ave,Brooklyn,11211,NYCHA Community Center,80,Yes,Yes,No,Yes,Yes,Yes,Yes,Full-time,80,Yes,Yes,Yes,Cooper Park Comm. Ctr.,76 Kingsland Ave,"Brooklyn, NY 11211"
635,"(40.69610779900006, -73.93976821699994)",NYCHA84,NYCHA,NYCHA (HUD),718-453-1296,NYCHA, ,(718) 452-4784, ,Vernon Ave Comm. Ctr.,1060,Myrtle Avenue,Brooklyn,11206,NYCHA Community Center,88,Yes,Yes,No,Yes,Yes,Yes,Yes,Full-time,88,Yes,Yes,Yes,Vernon Ave Comm. Ctr.,1060 Myrtle Avenue,"Brooklyn, NY 11206"
636,"(40.698175475000085, -73.94053504999994)",NYCHA87,NYCHA,NYCHA (HUD),718-453-1296,NYCHA, ,(718) 919-4756, ,Sumner Comm. Ctr.,862,Park Avenue,Brooklyn,11206,NYCHA Community Center,90,Yes,Yes,No,Yes,Yes,Yes,Yes,Full-time,90,Yes,Yes,Yes,Sumner Comm. Ctr.,862 Park Avenue,"Brooklyn, NY 11206"
637,"(40.682831983000085, -73.9893123629999)",NYCHA89,NYCHA,NYCHA (HUD),718-453-1296,NYCHA, ,(718) 797-2752, ,Gowanus Comm. Ctr.,420,Baltic St,Brooklyn,11217,NYCHA Community Center,95,Yes,Yes,No,Yes,Yes,Yes,Yes,Full-time,95,Yes,Yes,Yes,Gowanus Comm. Ctr.,420 Baltic St,"Brooklyn, NY 11217"
638,"(40.668449045000045, -73.8727035309999)",NYCHA90,NYCHA,NYCHA (HUD),718-453-1296,NYCHA, ,(718) 277-6641, ,Cypress Hills Comm. Ctr.,475,Fountain Ave,Brooklyn,11208,NYCHA Community Center,97,Yes,Yes,No,Yes,Yes,Yes,Yes,Full-time,97,Yes,Yes,Yes,Cypress Hills Comm. Ctr.,475 Fountain Ave,"Brooklyn, NY 11208"
639,"(40.66718132400007, -73.89804768899995)",NYCHA114,NYCHA,NYCHA (HUD),718-453-1296,NYCHA, ,(718) 346-4807, ,Unity Plaza Comm. Ctr.,576,Blake Avenue,Brooklyn,11207,NYCHA Community Center,135,Yes,Yes,No,Yes,Yes,Yes,Yes,Full-time,135,Yes,Yes,Yes,Unity Plaza Comm. Ctr.,576 Blake Avenue,"Brooklyn, NY 11207"
640,"(40.679931218000036, -73.92336504899993)",NYCHA117,NYCHA,NYCHA (HUD),718-453-1296,NYCHA, ,(718) 493-3917, ,Brevoort Comm. Ctr.,280,Ralph Ave,Brooklyn,11233,NYCHA Community Center,143,Yes,Yes,No,Yes,Yes,Yes,Yes,Full-time,143,Yes,Yes,Yes,Brevoort Comm. Ctr.,280 Ralph Ave,"Brooklyn, NY 11233"
641,"(40.57428646200009, -73.9903543179999)",NYCHA121,NYCHA,NYCHA (HUD),718-453-1296,NYCHA, ,(718) 996-5893, ,Carey GardenS Boys & Girls Club,2315,Surf Ave,Brooklyn,11224,NYCHA Community Center,154,Yes,Yes,No,Yes,Yes,Yes,Yes,Full-time,154,Yes,Yes,Yes,Carey GardenS Boys & Girls Club,2315 Surf Ave,"Brooklyn, NY 11224"
642,"(40.66881474100006, -73.8645897639999)",NYCHA122,NYCHA,NYCHA (HUD),718-453-1296,NYCHA, ,(718) 964-9043, ,Louis H. Pink Comm. Ctr.,2702,Linden Blvd,Brooklyn,11208,NYCHA Community Center,154,Yes,Yes,No,Yes,Yes,Yes,Yes,Full-time,154,Yes,Yes,Yes,Louis H. Pink Comm. Ctr.,2702 Linden Blvd,"Brooklyn, NY 11208"
643,"(40.70916757700007, -73.94392647199993)",NYCHA124,NYCHA,NYCHA (HUD),718-453-1296,NYCHA, ,(718) 599-6217, ,Williamsburg Comm. Ctr.,195,Graham Avenue,Brooklyn,11206,NYCHA Community Center,169,Yes,Yes,No,Yes,Yes,Yes,Yes,Full-time,169,Yes,Yes,Yes,Williamsburg Comm. Ctr.,195 Graham Avenue,"Brooklyn, NY 11206"
644,"(40.70320067200004, -73.9404182959999)",NYCHA127,NYCHA,NYCHA (HUD),718-453-1296,NYCHA, ,(718) 453-8116, ,Bushwick/Hylan Comm. Ctr.,50,Humboldt St,Brooklyn,11206,NYCHA Community Center,178,Yes,Yes,No,Yes,Yes,Yes,Yes,Full-time,178,Yes,Yes,Yes,Bushwick/Hylan Comm. Ctr.,50 Humboldt St,"Brooklyn, NY 11206"
645,"(40.66636121500005, -73.90475243199995)",NYCHA133,NYCHA,NYCHA (HUD),718-453-1296,NYCHA, ,(718) 485-3719, ,Van Dyke I Comm. Ctr.,392,Blake Avenue,Brooklyn,11212,NYCHA Community Center,259,Yes,Yes,No,Yes,Yes,Yes,Yes,Full-time,259,Yes,Yes,Yes,Van Dyke I Comm. Ctr.,392 Blake Avenue,"Brooklyn, NY 11212"
646,"(40.69379876000005, -73.98209410499993)",NYCHA136,NYCHA,NYCHA (HUD),718-453-1296,NYCHA, ,(718) 855-2923, ,Ingersoll Comm. Ctr.,177,Myrtle Ave,Brooklyn,11201,NYCHA Community Center,0,Yes,Yes,No,Yes,Yes,Yes,Yes,Full-time,0,Yes,Yes,Yes,Ingersoll Comm. Ctr.,177 Myrtle Ave,"Brooklyn, NY 11201"
647,"(40.685883808000085, -73.91748617499991)",NYCHA138,NYCHA,NYCHA (HUD),718-453-1296,NYCHA, ,(718) 455-2862, ,Saratoga Comm. Ctr.,940,Hancock St,Brooklyn,11233,NYCHA Community Center,0,Yes,No,No,No,No,No,No,Full-time,0,Yes,Yes,Yes,Saratoga Comm. Ctr.,940 Hancock St,"Brooklyn, NY 11233"
648,"(40.685378643000035, -73.78412288699991)",NYCHA98,NYCHA,NYCHA (HUD),718-969-6240,NYCHA, ,(718) 527-4650, ,Baisley Park Comm. Ctr.,116-40,Guy Brewer Blvd,Queens,11434,NYCHA Community Center,112,Yes,Yes,No,Yes,Yes,Yes,Yes,Full-time,112,Yes,Yes,Yes,Baisley Park Comm. Ctr.,116-40 Guy Brewer Blvd,"Queens, NY 11434"
649,"(40.574736887000086, -73.99358536499994)",NYCHA41,NYCHA,NYCHA (HUD),718-453-1296,NYCHA, ,(718) 449-2897, ,Surfside Comm. Ctr.,2923,West 28th St.,Brooklyn,11224,NYCHA Community Center,41,Yes,Yes,No,Yes,Yes,Yes,Yes,Full-time,41,Yes,Yes,Yes,Surfside Comm. Ctr.,2923 West 28th St.,"Brooklyn, NY 11224"
650,"(40.84627950400005, -73.93502593599993)",DYCD649,DYCD,OST,800-246-4646,"Childrens Arts & Science Workshops, Inc.",132752494,(212) 927-9233,06M115,PS 115 ALEXANDER HUMBOLDT (M115),586,West 177th Street,Manhattan,10033,School,185,Yes,Yes,unknown,unknown,Yes,No,No,Full-time,185,yes,yes,yes,OST - Childrens Arts & Science Workshops,586 West 177th Street,"Manhattan, NY 10033"
651,"(40.87655047100009, -73.90807780099993)",DYCD650,DYCD,OST,800-246-4646,"Childrens Arts & Science Workshops, Inc.",132752494,(718) 562-8560, ,Marble Hill,5365,Broadway,Bronx,10463,NYCHA,120,Yes,Yes,unknown,unknown,Yes,No,No,Full-time,120,Yes,Yes,Yes,OST - Childrens Arts & Science Workshops,5365 Broadway,"Bronx, NY 10463"
652,"(40.656236076000084, -73.95389360199994)",DYCD566,DYCD,OST,800-246-4646,"Church Avenue Merchants Block Association, Inc.",112480339,718-287-1216,17K019,PS 92 - Adrian Hegeman ES,601,Parkside Avenue,Brooklyn,11226,school,200,no,yes,no,no,yes,no,no,Full-time,200,yes,yes,yes,OST - Church Avenue Merchants Block Association,601 Parkside Avenue,"Brooklyn, NY 11226"
653,"(40.79747872000007, -73.96367549999991)",DYCD12,DYCD,OST,800-246-4646,Childrens Aid Society- Frederick Douglas,135562191,212-949-4800, ,Childrens Aid Society,885,Columbus Avenue,Manhattan,10025,center,0,no,yes,unknown,unknown,yes,no,yes,Part-time,0,no,no,no,OST - Childrens Aid Society,885 Columbus Avenue,"Manhattan, NY 10025"
654,"(40.63452324200006, -74.09783572299995)",DYCD135,DYCD,OST,800-246-4646,Childrens Aid Society,135562191,212-949-4800,31R061,William Morris School,445,Castleton Avenue,Staten Island,10301,school,0,yes,yes,unknown,unknown,no,yes,no,Full-time,0,yes,yes,yes,OST - Childrens Aid Society,445 Castleton Avenue,"Staten Island, NY 10301"
655,"(40.83936064200009, -73.93574989399991)",DYCD136,DYCD,OST,800-246-4646,Childrens Aid Society,135562191,212-949-4800,06M090,Mirabal Sisters School,21,Jumel Place,Manhattan,10032,school,0,yes,yes,unknown,unknown,no,yes,no,Full-time,0,yes,yes,yes,OST - Childrens Aid Society,21 Jumel Place,"Manhattan, NY 10032"
656,"(40.794158852000066, -73.93313306699991)",DYCD140,DYCD,OST,800-246-4646,Childrens Aid Society,135562191,212-949-4800,04M435,Manhattan Ctr. For Science & Math,280,Pleasant Avenue,Manhattan,10029,school,0,no,yes,unknown,unknown,no,no,yes,Part-time,0,no,no,no,OST - Childrens Aid Society,280 Pleasant Avenue,"Manhattan, NY 10029"
657,"(40.86014278300007, -73.92778542399992)",DYCD142,DYCD,OST,800-246-4646,Childrens Aid Society,135562191,212-949-4800,06M152,Dyckman Valley ES,93,Nagle Avenue,Manhattan,10040,school,0,yes,yes,unknown,unknown,yes,no,no,Full-time,0,yes,yes,yes,OST - Childrens Aid Society,93 Nagle Avenue,"Manhattan, NY 10040"
658,"(40.78564309500007, -73.94098587499991)",DYCD144,DYCD,OST,800-246-4646,Childrens Aid Society,135562191,212-949-4800,04M050,Vito Marcantonio ES,433,East 100th Street,Manhattan,10029,school,0,yes,yes,unknown,unknown,yes,no,no,Full-time,0,yes,yes,yes,OST - Childrens Aid Society,433 East 100th Street,"Manhattan, NY 10029"
